category,index,source_name_en,current_name_es,flag_reason,correction
features,eldritch-invocations,Eldritch Invocations,Invocaciones de Misterio,bullet_structure:paragraph_count_src0_vs_out4; name_ungrounded:not_found_in_manual; confidence:low,
features,mystic-arcanum,Mystic Arcanum,Arcano Místico,name_ungrounded:not_found_in_manual; confidence:low,
features,pact-magic,Pact Magic,Magia de pacto,name_ungrounded:not_found_in_manual; confidence:low,
features,arcane-recovery,Arcane Recovery,Recuperación arcana,bullet_structure:paragraph_count_src0_vs_out1,
features,epic-boon,Epic Boon,Don épico,confidence:low,
features,memorize-spell,Memorize Spell,Memorizar conjuro,confidence:low,
features,ritual-adept,Ritual Adept,Adepto de rituales,name_ungrounded:not_found_in_manual,
features,scholar,Scholar,Erudito,confidence:low,
features,signature-spells,Signature Spells,Conjuros de firma,name_ungrounded:not_found_in_manual,
features,spell-mastery,Spell Mastery,Maestría en conjuros,name_ungrounded:not_found_in_manual,
features,spellcasting,Spellcasting,Lanzamiento de conjuros,bullet_structure:paragraph_count_src0_vs_out7,
features,breath-weapon-black,Breath Weapon - Black,Arma de aliento - Negra,name_ungrounded:not_found_in_manual,
features,breath-weapon-blue,Breath Weapon - Blue,Arma de aliento - Azul,name_ungrounded:not_found_in_manual,
features,breath-weapon-brass,Breath Weapon - Brass,Arma de aliento - Latón,name_ungrounded:not_found_in_manual,
features,breath-weapon-bronze,Breath Weapon - Bronze,Arma de aliento - Bronce,name_ungrounded:not_found_in_manual,
features,breath-weapon-copper,Breath Weapon - Copper,Arma de aliento - Cobre,name_ungrounded:not_found_in_manual,
features,breath-weapon-gold,Breath Weapon - Gold,Arma de aliento - Oro,name_ungrounded:not_found_in_manual,
features,breath-weapon-green,Breath Weapon - Green,Arma de aliento - Verde,name_ungrounded:not_found_in_manual; confidence:low,
features,breath-weapon-red,Breath Weapon - Red,Arma de aliento - Roja,name_ungrounded:not_found_in_manual,
features,breath-weapon-silver,Breath Weapon - Silver,Arma de aliento - Plata,bullet_structure:paragraph_count_src0_vs_out2; name_ungrounded:not_found_in_manual,
features,breath-weapon-white,Breath Weapon - White,Arma de aliento - Blanco,name_ungrounded:not_found_in_manual,
features,stonecunning,Stonecunning,Conocimiento de la piedra,name_ungrounded:not_found_in_manual; confidence:low,
features,artificer-s-lore,Artificer's Lore,Saber del artífice,name_ungrounded:not_found_in_manual; confidence:low,
features,gnome-cunning,Gnome Cunning,Astucia de gnomo,name_ungrounded:not_found_in_manual,
features,tinker,Tinker,Juguetero,name_ungrounded:not_found_in_manual; confidence:low,
features,brave,Brave,Valiente,confidence:low,
features,lucky,Lucky,Suerte,confidence:low,
features,naturally-stealthy,Naturally Stealthy,Naturalmente Sigiloso,name_ungrounded:not_found_in_manual; confidence:low,
features,relentless-endurance,Relentless Endurance,Resistencia implacable,name_ungrounded:not_found_in_manual; confidence:low,
features,savage-attacks,Savage Attacks,Ataques salvajes,name_ungrounded:not_found_in_manual,
